geneId,diseaseId,score,ei,el,yearInitial,yearFinal,g_source
19,C0020443,0.55,1.00,limited,2002,2017,ALL
19,C0039292,1.00,0.99,NULL,1999,2019,ALL
19,C1704429,0.80,0.97,limited,1999,2017,ALL
21,C1970456,0.70,1.00,strong,2004,2018,ALL
24,C0035334,0.70,0.97,strong,1998,2019,ALL
24,C0242383,0.70,0.96,strong,1997,2019,ALL
24,C0271093,1.00,1.00,limited,1997,2020,ALL
24,C1855465,1.00,0.98,NULL,1997,2020,ALL
24,C1858080,0.60,1.00,limited,1999,2018,ALL
24,C1858806,0.90,1.00,NULL,1998,2018,ALL
24,C1866422,0.80,1.00,NULL,1999,2017,ALL
24,C3495438,0.70,1.00,NULL,1997,2009,ALL
25,C0023473,0.80,0.98,NULL,1982,2020,ALL
25,C1961099,0.60,0.96,NULL,1998,2019,ALL
25,C1961102,0.60,0.99,NULL,1987,2020,ALL
25,C4539857,0.60,1.00,NULL,2017,2017,ALL
34,C0220710,1.00,0.99,definitive,1983,2019,ALL
35,C0342783,1.00,1.00,definitive,1989,2018,ALL
37,C3887523,1.00,0.99,definitive,1985,2020,ALL
38,C1536500,0.80,1.00,definitive,1979,2019,ALL
54,C0432222,0.57,1.00,NULL,2011,2018,ALL
54,C1842763,0.72,1.00,NULL,1958,2018,ALL
58,C0546264,0.74,1.00,NULL,1999,2010,ALL
58,C1834339,0.60,1.00,strong,2009,2011,ALL
58,C2750537,0.60,1.00,strong,2009,2011,ALL
58,C3711389,0.93,1.00,NULL,1988,2018,ALL
58,C4225181,0.70,1.00,limited,2015,2015,ALL
59,C0026654,0.60,1.00,strong,2009,2018,ALL
59,C2673186,0.70,1.00,NULL,2007,2017,ALL
59,C3151201,0.78,1.00,NULL,2007,2019,ALL
59,C3279690,0.70,1.00,NULL,2007,2016,ALL
59,C4707243,0.60,1.00,definitive,2000,2016,ALL
60,C1846331,0.70,1.00,strong,2002,2018,ALL
60,C1855722,0.72,1.00,NULL,1989,2018,ALL
70,C0007193,0.65,1.00,NULL,2006,2019,ALL
70,C0007194,0.70,0.96,definitive,1999,2019,ALL
70,C2677506,0.70,1.00,strong,1998,2019,ALL
