geneId,geneSymbol,DSI,DPI,PLI,protein_class_name,protein_class,NofDiseases,NofPmids
2,A2M,0.53,0.77,0.00,"Enzyme modulator",DTO_05007584,147,145
9,NAT1,0.54,0.85,0.00,Enzyme,DTO_05007624,133,184
10,NAT2,0.45,0.89,0.00,Enzyme,DTO_05007624,311,627
12,SERPINA3,0.49,0.85,0.00,"Enzyme modulator",DTO_05007584,229,300
17,AAVS1,0.60,0.73,NULL,NULL,NULL,78,81
19,ABCA1,0.47,0.85,0.00,Transporter,DTO_05007405,291,632
21,ABCA3,0.59,0.62,0.00,Transporter,DTO_05007405,84,105
24,ABCA4,0.49,0.77,0.00,Transporter,DTO_05007405,227,433
25,ABL1,0.43,0.92,1.00,Kinase,DTO_03300101,395,2802
26,AOC1,0.63,0.77,0.00,NULL,NULL,61,53
28,ABO,0.43,0.89,NULL,Enzyme,DTO_05007624,443,554
31,ACACA,0.48,0.85,1.00,NULL,NULL,241,277
34,ACADM,0.64,0.46,0.00,Enzyme,DTO_05007624,94,152
35,ACADS,0.66,0.54,0.00,NULL,NULL,56,71
37,ACADVL,0.65,0.65,0.00,Enzyme,DTO_05007624,87,102
38,ACAT1,0.54,0.69,0.00,Enzyme,DTO_05007624,176,130
43,ACHE,0.45,0.89,1.00,Enzyme,DTO_05007624,418,850
47,ACLY,0.56,0.69,0.08,Enzyme,DTO_05007624,109,126
49,ACR,0.49,0.85,0.01,Enzyme,DTO_05007624,230,326
52,ACP1,0.57,0.73,0.00,NULL,NULL,107,99
54,ACP5,0.56,0.73,0.08,NULL,NULL,130,66
55,ACP3,0.53,0.73,0.00,Enzyme,DTO_05007624,151,158
58,ACTA1,0.54,0.77,0.00,"Cellular structure",DTO_05007530,217,109
59,ACTA2,0.51,0.85,0.93,"Cellular structure",DTO_05007530,200,138
60,ACTB,0.33,0.92,0.99,"Cellular structure",DTO_05007530,1110,2413
70,ACTC1,0.61,0.54,0.74,"Cellular structure",DTO_05007530,69,72
71,ACTG1,0.48,0.85,0.00,"Cellular structure",DTO_05007530,291,227
72,ACTG2,0.51,0.81,0.07,"Cellular structure",DTO_05007530,205,178
81,ACTN4,0.51,0.81,1.00,NULL,NULL,166,182
90,ACVR1,0.54,0.73,0.33,Kinase,DTO_03300101,144,171
94,ACVRL1,0.49,0.77,0.00,Kinase,DTO_03300101,224,279
100,ADA,0.44,0.89,0.00,Enzyme,DTO_05007624,379,560
102,ADAM10,0.49,0.85,1.00,NULL,NULL,224,271
103,ADAR,0.50,0.81,0.03,Enzyme,DTO_05007624,256,191
104,ADARB1,0.59,0.65,0.80,Enzyme,DTO_05007624,85,65
